START 12 290 75
END 12 300 50 10 50
START 14 10 225
END 14 -10 200 10 50
START 26 10 225

COLOR 62 230 84
RECT 0 0 300 50
RECT 0 250 300 50

RECT 100 50 60 10
RECT 100 60 55 10
RECT 100 70 50 10
RECT 100 80 45 10
RECT 100 90 40 10
RECT 0 100 135 10
RECT 0 110 130 10
RECT 0 120 125 10
RECT 0 130 120 10
RECT 0 140 115 10
RECT 0 150 110 10
RECT 0 160 105 10
RECT 0 170 100 10
RECT 0 180 95 10
RECT 0 190 90 10

RECT 175 100 150 10
RECT 170 110 155 10
RECT 165 120 160 10
RECT 160 130 165 10
RECT 155 140 170 10
RECT 150 150 175 10
RECT 145 160 180 10
RECT 140 170 185 10
RECT 135 180 190 10
RECT 130 190 195 10
RECT 125 200 200 10
RECT 120 210 55 10
RECT 115 220 60 10
RECT 110 230 65 10
RECT 105 240 70 10
